id,model,make,year,mileage_kms,transmission,price,engine_capacity,seat_capacity,colour,power_hp,peak_torque_nm,fuel_tanks_litres,dimension
6568648,Cooper,MINI,2013,52500,Automatic,75500.0,1598,4,Blue,184.0,260.0,50.0,8993.374731
6606899,Sportage,Kia,2016,63270,Automatic,68800.0,1999,5,White,154.0,191.0,55.0,13271.85
6606881,Range Rover Evoque,Land Rover,2012,47500,Automatic,138800.0,1999,5,Black,241.0,340.0,70.0,14023.762875
6606847,X2,BMW,2018,12500,Automatic,228800.0,1998,5,Black,192.0,280.0,51.0,12135.72864
6547258,Gran Max,Daihatsu,2013,52500,Manual,34800.0,1495,2,White,97.0,134.0,43.0,12796.3575
6570469,CX-5,Mazda,2017,75000,Automatic,119800.0,1998,5,Red,165.0,210.0,56.0,14023.1
6482627,735Li,BMW,2004,180000,Automatic,25000.0,3600,5,Black,272.0,360.0,88.0,14668.505496
6525926,Elantra,Hyundai,2012,86790,Automatic,39800.0,1797,5,Red,150.0,178.0,55.0,11618.88375
6360988,Serena,Nissan,2015,73021,Automatic,80800.0,1997,8,White,147.0,210.0,60.0,15434.64675
6483158,Vios,Toyota,2012,85520,Automatic,41800.0,1497,5,White,109.0,141.0,42.0,10672.6
6584034,Camry,Toyota,2012,89500,Automatic,70800.0,2494,5,Silver,181.0,231.0,70.0,12944.26875
6347327,Ranger,Ford,2014,78700,Automatic,56800.0,2198,5,Blue,150.0,375.0,80.0,17994.18225
6604992,320i,BMW,2014,122500,Automatic,109500.0,1997,5,Red,184.0,270.0,60.0,12429.076176
6606548,SLK280,Mercedes-Benz,2006,52000,Automatic,58000.0,2996,2,White,231.0,300.0,70.0,9459.006336
6265985,HR-V,Honda,2016,57000,Automatic,65000.0,1799,5,Black,143.0,172.0,50.0,12212.39364
6546779,Jazz,Honda,2016,50113,Automatic,55800.0,1497,5,Red,120.0,145.0,40.0,10210.44948
6605840,CC,Volkswagen,2013,77500,Automatic,58999.0,1798,5,Silver,160.0,250.0,70.0,12657.85591
6605808,CX-5,Mazda,2014,67500,Automatic,72999.0,1998,5,Grey,154.0,198.0,58.0,13996.604
6605792,Accord,Honda,2011,87500,Automatic,51999.0,2354,5,Black,181.0,222.0,70.0,13457.199375
6558574,Navara,Nissan,2017,17500,Automatic,82800.0,2488,5,Black,190.0,450.0,80.0,17888.02
6594442,City,Honda,2015,47500,Automatic,49800.0,1497,5,Grey,120.0,145.0,40.0,11115.6066
6606674,Avanza,Toyota,2007,97500,Manual,14888.0,1298,7,Grey,92.0,120.0,45.0,11211.629
6605507,Civic,Honda,2010,72500,Automatic,41800.0,1799,5,Grey,140.0,174.0,50.0,11433.6495
6394796,Hiace,Toyota,2014,122500,Manual,83800.0,2494,10,White,102.0,260.0,70.0,7084.52025
6525767,X5,BMW,2016,80000,Automatic,228000.0,1997,5,White,245.0,350.0,85.0,16684.497816
6526389,Myvi,Perodua,2017,22500,Automatic,36988.0,1495,5,Blue,103.0,136.0,40.0,9632.77425
6129017,Accent,Hyundai,2008,172500,Automatic,12800.0,1599,5,Grey,111.0,145.0,45.0,10664.262
6210639,Latio,Nissan,2008,142500,Automatic,20800.0,1598,5,Grey,109.0,153.0,55.0,10940.674125
6532370,Saga,Proton,2016,102500,Automatic,18888.0,1332,5,Black,95.0,120.0,40.0,10924.3008
