,make,id,model,year,mileage_kms,transmission,price,engine_capacity,seat_capacity,colour,power_hp,peak_torque_nm,length,width,height,fuel_tanks_litres,country
7928,Toyota,6462675,Vellfire,2014,32500.0,Automatic,147800.0,3456.0,7.0,White,280.0,344.0,4870.0,1830.0,1890.0,65.0,Japan
7929,Toyota,6438592,Alphard,2015,37500.0,Automatic,219800.0,2493.0,7.0,Black,182.0,235.0,4935.0,1850.0,1880.0,55.0,Japan
7930,BMW,6535141,320i,2013,67500.0,Automatic,89800.0,1997.0,5.0,Black,184.0,270.0,4624.0,1811.0,1429.0,60.0,Germany
7931,Mercedes-Benz,6532556,C200,2016,52500.0,Automatic,163800.0,1991.0,5.0,Black,184.0,300.0,4686.0,1810.0,1442.0,66.0,Germany
7932,Mercedes-Benz,6496238,C200 CGI,2014,42500.0,Automatic,89800.0,1796.0,5.0,Black,186.0,270.0,4591.0,1770.0,1447.0,66.0,Germany
7933,Toyota,5968523,Camry,2008,122500.0,Automatic,36800.0,1998.0,5.0,Silver,147.0,190.0,4825.0,1820.0,1470.0,70.0,Japan
7934,Toyota,6560497,Vios,2013,57500.0,Automatic,37999.0,1497.0,5.0,White,109.0,141.0,4410.0,1700.0,1475.0,42.0,Japan
7935,Toyota,6484384,Hilux,2012,87500.0,Manual,47800.0,2494.0,5.0,Silver,102.0,260.0,5260.0,1835.0,1850.0,76.0,Japan
7936,Toyota,6415983,Hilux,2004,132500.0,Manual,29800.0,2779.0,5.0,White,88.0,185.0,4785.0,1700.0,1825.0,55.0,Japan
7937,Mitsubishi,6048231,Triton,2011,87500.0,Manual,27800.0,2477.0,5.0,Silver,75.0,149.0,5215.0,1750.0,1655.0,75.0,Japan
7938,Isuzu,6570656,D-Max,2011,117500.0,Manual,35800.0,2499.0,5.0,Green,116.0,280.0,5030.0,1800.0,1735.0,76.0,Japan
7939,Mitsubishi,6434820,Triton,2010,92500.0,Automatic,45800.0,2477.0,5.0,White,136.0,314.0,5100.0,1800.0,1795.0,75.0,Japan
7940,Mercedes-Benz,6263230,S280,2003,97500.0,Automatic,17999.0,2799.0,5.0,Black,204.0,270.0,5038.0,1855.0,1444.0,80.0,Germany
7941,Mercedes-Benz,6652791,E200,2017,57500.0,Automatic,228000.0,1991.0,5.0,White,184.0,300.0,4923.0,1852.0,1468.0,66.0,Germany
7942,Nissan,6556674,X-Trail,2011,67500.0,Automatic,27999.0,1997.0,5.0,White,139.0,198.0,4630.0,1785.0,1685.0,65.0,Japan
7943,Toyota,6583865,Avanza,2006,102500.0,Automatic,14900.0,1298.0,7.0,Bronze,88.0,120.0,4070.0,1630.0,1690.0,45.0,Japan
7944,Perodua,6255833,Alza,2011,87500.0,Automatic,24500.0,1495.0,7.0,Silver,103.0,136.0,4205.0,1695.0,1620.0,42.0,Malaysia
