link,Bore(mm),Stroke(mm),Power(hp),Compression Ratio,Peak Torque(Nm),Length(mm),Width(mm),Height(mm),Fuel Tank (litres)
https://www.carlist.my/used-cars/2019-bmw-330e-2-0-m-sport-sedan/6651890,82,94.6,184,11,290,4633,1811,1429,60
https://www.carlist.my/used-cars/2016-bmw-740li-3-0-sedan/6350377,82,94.6,326,11,450,5238,1902,1479,78
https://www.carlist.my/used-cars/2019-bmw-330i-2-0-m-sport-sedan-cbu-many-colour-unit-to-choose-and-come-with-6-years-free-maintenance-t-c-apply-pre-reg/6652643,82,94.6,258,10.2,400,4709,1827,1435,59
https://www.carlist.my/used-cars/2019-bmw-530e-2-0-m-sport-sedan-many-colour-unit-to-choose-and-come-with-6-years-free-maintenance-t-c-apply-pre-reg/6653107,82,94.6,184,11,290,4936,1868,1483,46
https://www.carlist.my/used-cars/2019-bmw-740le-2-0-xdrive-sedan-many-colour-unit-to-choose-and-come-with-6-years-free-maintenance-t-c-apply-pre-reg/6653298,82,94.6,258,11,400,5238,1902,1479,78
https://www.carlist.my/used-cars/2019-bmw-530i-2-0-m-sport-sedan-many-colour-unit-to-choose-and-come-with-6-years-free-maintenance-t-c-apply-pre-reg/6652765,82,94.6,252,10.2,350,4936,1868,1479,68
https://www.carlist.my/used-cars/2019-bmw-530i-2-0-m-sport-sedan-few-colours-unit-to-choose-and-come-with-6-years-free-maintenance-t-c-apply/6657098,82,94.6,252,10.2,350,4936,1868,1479,68
https://www.carlist.my/used-cars/2018-mercedes-benz-e300-2-0-amg-sedan/6655276,83,92,245,9.8,370,4923,1852,1468,66
https://www.carlist.my/used-cars/2019-bmw-740le-2-0-xdrive-sedan-white-black-and-come-with-6-years-free-maintenance-t-c-apply/6657173,82,94.6,258,11,400,5238,1902,1479,78
https://www.carlist.my/used-cars/2019-bmw-530e-2-0-m-sport-sedan-and-come-with-6-years-free-maintenance-t-c-apply/6657200,82,94.6,184,11,290,4936,1868,1483,46
https://www.carlist.my/used-cars/2013-mercedes-benz-w212-e250-2-0l-a-avantgarde-sedan-facelift-model-like-new-condition/6445340,NA,NA,211,9.8,350,4879,1854,1474,80
https://www.carlist.my/used-cars/2015-bmw-428i-2-0l-m-sport-2-door-coupe-local-malaysia-m-performance-lips-and-spoiler/6573826,84,90.1,245,10,350,4638,1825,1377,60
https://www.carlist.my/used-cars/2015-mini-cooper-2-door-1-5l-a-local-cbu-low-mileage-all-original-like-new-condition/6546048,NA,NA,NA,NA,NA,NA,NA,,NA
https://www.carlist.my/used-cars/2012-toyota-vellfire-2-4l-a-new-facelift-vvti-a-2-power-door-genuine-low-mileage/6656184,88.5,96,170,9.81,224,4870,1830,1890,65
https://www.carlist.my/used-cars/2005-perodua-kenari-1-0-gx-m/6646798,72,81,55,10,88,3450,1480,1640,40
https://www.carlist.my/used-cars/2011-toyota-vios-1-5-e-a/6646797,NA,NA,109,NA,141,4300,1700,1460,42
https://www.carlist.my/used-cars/2019-perodua-axia-1-0-a/6646791,71,84,68,NA,91,3645,1620,1510,33
https://www.carlist.my/used-cars/2014-perodua-alza-1-5-advance-a/6646790,72,91.8,103,10,136,4270,1695,1620,42
https://www.carlist.my/used-cars/2002-proton-wira-1-5-a/6646788,75,82,90,9.2,126,4360,1680,1385,50
https://www.carlist.my/used-cars/2012-mini-cooper-1-6-s-facelift-a-panaromic-roof/6628049,NA,NA,184,NA,260,3729,1683,1433,50
https://www.carlist.my/used-cars/2008-ferrari-f430-4-3-spider-a/6486545,92,81,489,11.3,465,4512,1923,1234,95
https://www.carlist.my/used-cars/2016-perodua-axia-1-0-advance-a/6623828,71,84,67,NA,90,3640,1620,1510,33
https://www.carlist.my/used-cars/2010-toyota-vios-1-5-j-sedan/6659564,NA,NA,109,NA,141,4300,1700,1460,42
https://www.carlist.my/used-cars/2007-naza-citra-2-0-gls-a/6657191,82,93.5,137,10.1,175,4493,1748,1609,55
https://www.carlist.my/used-cars/2008-perodua-myvi-1-3-se-a/6328968,72,79.7,87,10,116,3720,1665,1550,40
https://www.carlist.my/used-cars/2016-bmw-x1-2-0-sdrive20i-a-bmw-premium-selection/6373933,82,94.6,192,11,280,4439,1821,1612,51
https://www.carlist.my/used-cars/2011-toyota-wish-1-8-s-full-spec/6559762,80.5,88.3,143,10.6,173,4600,1720,1590,60
https://www.carlist.my/used-cars/2012-mercedes-benz-cls350-3-5-amg-japan-spec/6629451,NA,NA,306,12.01,370,4940,1881,1416,80
https://www.carlist.my/used-cars/2013-proton-exora-1-6-bold-cfe-a/6382621,NA,86,140,8.9,205,4592,1809,1691,55
https://www.carlist.my/used-cars/2008-toyota-alphard-2-4-mpv-a/6622384,88.5,96,159,9.6,220,4840,1805,1935,70
https://www.carlist.my/used-cars/2011-volkswagen-golf-2-0-gti-hatchback-a/6659305,NA,NA,211,NA,280,4213,1786,1501,55
https://www.carlist.my/used-cars/2010-honda-city-1-5-e-i-vtec-sedan-a/6659300,73,89.4,120,10.41,145,4395,1695,1470,42
https://www.carlist.my/used-cars/2014-toyota-vios-1-5-trd-sportivo-a-tip-top-condition/6597871,NA,NA,109,NA,141,4410,1700,1475,42
https://www.carlist.my/used-cars/2010-perodua-alza-1-5-ezi-mpv-a/6556163,NA,NA,103,NA,136,4205,1695,1620,42
https://www.carlist.my/used-cars/2015-perodua-axia-998-se-hatchback-a/6659299,71,84,67,NA,90,3640,1620,1510,33
https://www.carlist.my/used-cars/2013-perodua-myvi-1-3-ezi-hatchback-a/6669697,72,79.7,91,10.01,117,3690,1665,1545,40
https://www.carlist.my/used-cars/2014-proton-preve-1-6-executive-a-tip-tp-condition/6687366,76,88,109,NA,150,4543,1786,1524,50
https://www.carlist.my/used-cars/2012-proton-saga-1-6-flx-se-sedan-a/6659776,76,88,109,10,150,4278,1680,1520,40
https://www.carlist.my/used-cars/2009-toyota-fortuner-2-7-v-a-facelift/6638897,95,95,160,9.6,241,4695,1540,1850,65
https://www.carlist.my/used-cars/2012-toyota-alphard-2-4-sc-package-home-theater-modelista-ori-low-mileage-view-believe/6649213,NA,NA,170,NA,224,4885,1840,1900,NA
https://www.carlist.my/used-cars/2005-toyota-camry-2-0-e-sedan/6632376,86,86,196,9.8,190,4825,1810,1490,70
https://www.carlist.my/used-cars/2012-nissan-navara-2-5-le-a-one-owner-no-off-road/6417168,89,100,174,16.51,403,5230,1850,1780,80
https://www.carlist.my/used-cars/2008-perodua-myvi-1-3-ezi-a/6627092,72,79.7,87,10,116,3720,1665,1550,40
https://www.carlist.my/used-cars/2007-toyota-vios-1-5-e-a-facelift/6384836,75,84.7,109,10.5,142,4285,1695,1435,45
https://www.carlist.my/used-cars/2007-nissan-latio-1-6-st-a/6643661,78,83.6,109,9.8,153,4205,1695,1535,NA
https://www.carlist.my/used-cars/2010-2016-toyota-estima-2-4-aeras-a/6588459,88.5,96,170,9.8,223,4795,1800,1745,65
https://www.carlist.my/used-cars/2010-nissan-grand-livina-1-8-impul-a/6641203,84,81.1,126,9.91,174,4420,1690,1590,52
https://www.carlist.my/used-cars/2013-toyota-innova-2-0-e-a/6138271,NA,NA,136,NA,182,4585,1775,1760,55
https://www.carlist.my/used-cars/2008-2013-toyota-vellfire-3-5-z-g-edition-a/6333257,94,83,280,10.81,344,4885,1840,1900,65
https://www.carlist.my/used-cars/2017-isuzu-d-max-2-5-a-4x4/5741803,95.4,87.4,136,18.1,320,5295,1860,1795,76
https://www.carlist.my/used-cars/2011-mercedes-benz-e250-1-8-sedan/5616365,82,85,204,9.3,310,4868,2071,1471,80
https://www.carlist.my/used-cars/2013-toyota-innova-2-0-a/5162368,NA,NA,136,NA,182,4585,1775,1760,55
https://www.carlist.my/used-cars/2013-suzuki-swift-1-4-glx-hatchback/6515817,73,82,95,10,130,3850,1695,1510,42
https://www.carlist.my/used-cars/2003-2006-toyota-harrier-2-4/5998404,88.5,96,160,9.6,221,4730,1845,1680,75
https://www.carlist.my/used-cars/2006-2008-toyota-estima-2-4-aeras-mpv/5632468,88.5,96,170,9.8,220,4795,1800,1750,65
https://www.carlist.my/used-cars/hyundai-elantra-1-6-facelift/6184265,77,85.4,129,10.5,157,4530,1775,1445,49
https://www.carlist.my/used-cars/toyota-camry-2-5-hybrid-sedan/5676679,NA,NA,160,NA,213,4850,1825,1470,65
https://www.carlist.my/used-cars/2007-2009-honda-civic-i-vtec-sedan/5925657,81,87.3,140,10.5,174,4540,1755,1435,50
https://www.carlist.my/used-cars/2013-bmw-x1-2-0-sdrive20i-suv/6297789,84,90.1,184,10.1,270,4454,1798,1545,63
https://www.carlist.my/used-cars/mercedes-benz-e300-2-1-bluetec-sedan/5630638,NA,NA,204,NA,500,4879,1854,1474,80
https://www.carlist.my/used-cars/2008-2009-mitsubishi-lancer-2-0-gt-sedan/6638331,86,86,155,10,199,4570,1760,1490,59
https://www.carlist.my/used-cars/2012-land-rover-range-rover-evoque-2-0-si4-dynamic-suv/6184376,NA,NA,241,NA,340,4365,1965,1635,70
https://www.carlist.my/used-cars/2014-perodua-axia-998-g-hatchback-m-used-car/6539313,71,84,67,NA,90,3640,1620,1510,33
https://www.carlist.my/used-cars/2014-toyota-corolla-altis-1-8-e-sedan-a-used-car/6539323,NA,NA,139,NA,173,4620,1776,1460,55
https://www.carlist.my/used-cars/2010-toyota-vellfire-2-4-vvti-a-z-platinum-new-facelift-7-seater-2-x-power-door-rear-power-boot-coll-box-sunroof-moon-roof-super-high-spec/6651263,88.5,96,170,9.81,224,4865,1840,1900,65
https://www.carlist.my/used-cars/2014-toyota-vellfire-2-4-vvti-a-zg-new-facelift-pilot-seat-7-seater-2-x-power-door-rear-power-boot-sunroof-moon-roof/6655167,88.5,96,170,9.81,224,4885,1840,1900,65
https://www.carlist.my/used-cars/2008-true-land-rover-freelander-2-2-2-td4-hse-a-free-smartphone-service-record/6055228,85,96,160,16.5,400,4500,1910,1740,68
https://www.carlist.my/used-cars/2010-true-proton-persona-1-6-a-new-2k-paint-hari-raya-promotion/6659818,76,88,111,NA,148,4477,1725,1438,NA
https://www.carlist.my/used-cars/range-rover-sport-5-0-svr/6570408,NA,NA,551,9.5,680,4850,1983,1780,105
https://www.carlist.my/used-cars/2014-mazda-cx-5-2-0-i-skyactiv-g-a-2wd-gls-high-spec-ckd-local-brand-new-by-bermas-mazda-malaysia/6487824,83.5,91.2,155,13,200,4555,1840,1670,56
https://www.carlist.my/used-cars/2008-audi-tt-2-0-tfsi-a-8j-turbo-new-facelift-led-day-running-light-mini-sport-car-2-door-coupe-full-spec/6664796,82.5,92.8,200,10.3,280,4178,1842,1352,55
https://www.carlist.my/used-cars/2012-perodua-alza-1-5-ezi-mpv-a-tip-top-condition/6418738,NA,NA,103,NA,136,4205,1695,1620,42
https://www.carlist.my/used-cars/2011-toyota-vios-1-5-trd-sportivo-a-subaru-blue-sport-rims/6471952,75,84.7,109,10.5,141,4300,1700,1460,42
https://www.carlist.my/used-cars/2014-toyota-camry-2-0-g-a-full-bodykit-keyless-leather-seat/6540307,NA,NA,148,NA,190,4825,1825,1470,70
https://www.carlist.my/used-cars/2015-honda-city-1-5-s-i-vtec-a-full-bodykit-dual-exhaust-sport-rims/6636803,73,89.4,120,10.3,145,4440,1695,1477,40
https://www.carlist.my/used-cars/2014-toyota-corolla-altis-1-8-e-a-keyless-push-start-good-condition/6427802,NA,NA,139,NA,173,4620,1776,1460,55
https://www.carlist.my/used-cars/2006-toyota-corolla-altis-1-6-e-a-full-leather-seat/6654120,79,81.5,110,10,146,4530,1705,1480,55
https://www.carlist.my/used-cars/2010-mazda-2-1-5-a-high-spec-blacklist-can-loan/6639896,78,78.4,103,10,135,4263,1695,1483,42
https://www.carlist.my/used-cars/2013-toyota-vios-1-5-e-a-car-king-low-mileage-new-tyres/6532332,NA,NA,109,NA,141,4300,1700,1460,42
https://www.carlist.my/used-cars/2010-naza-kia-picanto-1-1-a-mileage-52kkm-full-service/6563754,67,77,64,10.1,96,3495,1595,1480,35
https://www.carlist.my/used-cars/2008-toyota-vios-1-5-e-a-trd-bodykit-15-enkei-sport-rims/6406860,75,84.7,109,10.5,141,4300,1700,1460,42
https://www.carlist.my/used-cars/2011-proton-inspira-2-0-p-a-evo-varis-vossen-cv3-sport-rims-full-leather-seat/6658988,NA,NA,150,NA,197,4570,1760,1490,59
https://www.carlist.my/used-cars/2015-proton-perdana-2-0-ex-minister-low-mileage/6227444,81,96.9,156,10.61,189,4950,1845,1475,70
https://www.carlist.my/used-cars/2008-toyota-estima-3-5-mpv-a-v6-2-power-door-full-leather-seat/6428979,94,83,284,9.8,332,4795,1800,1730,65
https://www.carlist.my/used-cars/mercedes-benz-e250-2018-coupe-a-amg-japan-spec-sas-golden-number/6029878,83,92,211,9.8,350,4703,1786,1397,NA
https://www.carlist.my/used-cars/2010-toyota-mark-x-2-5-a-japan-sport-vertiga-auto-parking-keyless-snow-sport/6634050,83,77,215,12,260,4730,1775,1435,70
https://www.carlist.my/used-cars/2013-ford-fiesta-1-5-sport-se-a-full-service-record-keyless-push-start/6662206,79,76.4,111,11,140,3982,1722,1489,43
https://www.carlist.my/used-cars/2014-honda-cr-z-1-5-hybrid-facelift-s-a-car-king-full-service-sport-econ-mode/6551522,73,89.4,135,10.4,172,4075,1740,1395,40
https://www.carlist.my/used-cars/2014-proton-preve-1-6-cfe-turbo-a-premium-brown/6696618,76,86,140,NA,205,4543,1786,1524,50
