make,id,model,year,mileage_kms,transmission,price,engine_capacity,seat_capacity,colour,power_hp,peak_torque_nm,fuel_tanks_litres,dimension
Perodua,6528990,Myvi,2010,97500,Automatic,21000.0,1298,5,Silver,87.0,116.0,40.0,9600.39
Proton,6609342,Preve,2013,57500,Automatic,25000.0,1561,5,Blue,140.0,205.0,50.0,12365.428152
Toyota,6690351,Vios,2012,117500,Automatic,39000.0,1497,5,White,109.0,141.0,42.0,10672.6
Perodua,6461464,Myvi,2015,62500,Automatic,36000.0,1495,5,Blue,103.0,136.0,40.0,9632.77425
Toyota,6654301,Vios,2011,97500,Automatic,39000.0,1497,5,Silver,109.0,141.0,42.0,10672.6
Toyota,6591400,Vellfire,2014,47500,Automatic,139888.0,3456,7,Black,280.0,344.0,65.0,16843.869
Audi,6647545,Q5,2011,67500,Automatic,58888.0,1984,5,White,211.0,350.0,75.0,14385.26556
Proton,6603706,Saga,2010,130000,Automatic,13800.0,1332,5,Silver,95.0,120.0,40.0,10741.94352
Perodua,6603699,Myvi,2013,130000,Manual,26800.0,1298,5,White,91.0,117.0,40.0,9492.24825
Ford,6507648,Ranger,2013,102500,Manual,46800.0,2198,5,Black,125.0,320.0,80.0,17708.7735
Honda,6603678,City,2015,70000,Automatic,53800.0,1497,5,Black,120.0,145.0,40.0,11115.6066
Proton,6603697,Exora,2012,170000,Automatic,34800.0,1561,6,Red,140.0,205.0,55.0,14047.015248
Nissan,6597744,X-Trail,2016,94000,Automatic,82800.0,1997,7,Black,144.0,200.0,60.0,14482.832
